y,pred,absolute_error,relative_error
554.16998291,556.085632324,-191.564941406,-0.00345679023303
435.920013428,432.262176514,365.783691406,0.00839107390493
556.690002441,538.268981934,1842.10205078,0.0330902673304
446.700012207,449.122741699,-242.272949219,-0.00542361615226
470.970001221,473.906219482,-293.621826172,-0.00623440602794
557.940002441,558.265686035,-32.568359375,-0.000583725108299
550.299987793,548.984191895,131.579589844,0.0023910519667
460.989990234,455.531097412,545.889282227,0.011841673404
450.739990234,448.024200439,271.578979492,0.00602518068627
440.730010986,433.792694092,693.731689453,0.0157405138016
453.989990234,457.267944336,-327.795410156,-0.00722032226622
452.369995117,456.558898926,-418.890380859,-0.00925990659744
424.410003662,436.131530762,-1172.15270996,-0.0276184044778
451.369995117,458.55758667,-718.759155273,-0.0159239470959
445.940002441,442.081207275,385.879516602,0.00865317136049
436.299987793,425.92074585,1037.92419434,0.0237892325968
430.049987793,429.514160156,53.5827636719,0.00124596594833
500.540008545,505.111877441,-457.186889648,-0.00913387350738
428.75,448.096099854,-1934.60998535,-0.0451220981777
395.160003662,398.576934814,-341.693115234,-0.00864695571363
400.670013428,401.071899414,-40.1885986328,-0.00100303487852
494.959991455,491.586456299,337.353515625,0.00681577343494
547.08001709,541.268005371,581.201171875,0.0106236962602
451.109985352,458.305175781,-719.519042969,-0.0159499701113
528.099975586,521.201416016,689.855957031,0.013062980026
472.619995117,468.216033936,440.396118164,0.00931818597019
457.970001221,453.784881592,418.511962891,0.00913841463625
464.510009766,463.537322998,97.2686767578,0.00209400593303
384.170013428,393.249420166,-907.940673828,-0.0236338246614
462.320007324,452.984466553,933.554077148,0.0201928112656
521.380004883,515.328186035,605.181884766,0.011607308872
451.720001221,447.199493408,452.05078125,0.0100073227659
439.540008545,442.746063232,-320.60546875,-0.00729411328211
452.420013428,458.041229248,-562.121582031,-0.0124247726053
483.119995117,478.100494385,501.950073242,0.0103897601366
501.779998779,499.507171631,227.282714844,0.00452952925116
449.329986572,435.449554443,1388.04321289,0.0308913998306
